Pop.Size,Generations,Threads,Seq.Time (s),Island.Time (s),MS.Time (s),Island Speedup,MS Speedup,Island Eff.,MS Eff.
100,100,2,5.01,5.99,5.82,0.84,0.86,0.07,0.07
100,100,4,4.93,2.67,5.86,1.84,0.84,0.15,0.07
100,100,8,4.96,2.27,5.83,2.19,0.85,0.18,0.07
100,100,12,4.98,2.49,5.79,2.0,0.86,0.17,0.07
100,100,16,4.99,2.94,5.79,1.7,0.86,0.14,0.07
100,200,2,9.8,10.99,10.35,0.89,0.95,0.07,0.08
100,200,4,9.83,4.29,10.47,2.29,0.94,0.19,0.08
100,200,8,9.86,3.09,10.26,3.19,0.96,0.27,0.08
100,200,12,9.84,3.0,10.4,3.28,0.95,0.27,0.08
100,200,16,9.93,3.48,10.69,2.86,0.93,0.24,0.08
100,500,2,24.74,26.03,23.54,0.95,1.05,0.08,0.09
100,500,4,24.71,9.31,23.6,2.65,1.05,0.22,0.09
100,500,8,24.55,5.11,23.81,4.81,1.03,0.4,0.09
100,500,12,24.73,4.61,23.71,5.36,1.04,0.45,0.09
100,500,16,24.78,4.72,23.69,5.25,1.05,0.44,0.09
200,100,2,9.9,11.03,9.4,0.9,1.05,0.07,0.09
200,100,4,9.84,5.67,9.33,1.74,1.05,0.14,0.09
200,100,8,9.93,3.08,9.33,3.23,1.06,0.27,0.09
200,100,12,9.91,3.13,9.35,3.16,1.06,0.26,0.09
200,100,16,9.85,3.74,9.36,2.64,1.05,0.22,0.09
200,200,2,19.62,21.03,17.33,0.93,1.13,0.08,0.09
200,200,4,19.7,9.06,17.33,2.17,1.14,0.18,0.09
200,200,8,19.69,4.68,17.26,4.2,1.14,0.35,0.1
200,200,12,19.82,4.38,17.28,4.52,1.15,0.38,0.1
200,200,16,19.75,4.61,17.25,4.28,1.15,0.36,0.1
200,500,2,49.58,51.31,41.21,0.97,1.2,0.08,0.1
200,500,4,49.3,18.91,41.07,2.61,1.2,0.22,0.1
200,500,8,49.87,9.35,41.24,5.33,1.21,0.44,0.1
200,500,12,49.57,8.14,41.26,6.09,1.2,0.51,0.1
200,500,16,49.33,7.92,41.14,6.23,1.2,0.52,0.1
500,100,2,24.96,26.11,19.36,0.96,1.29,0.08,0.11
500,100,4,25.08,10.97,19.32,2.29,1.3,0.19,0.11
500,100,8,24.96,9.21,19.35,2.71,1.29,0.23,0.11
500,100,12,25.12,5.21,19.37,4.83,1.3,0.4,0.11
500,100,16,24.83,5.54,19.44,4.48,1.28,0.37,0.11
500,200,2,49.72,51.56,37.2,0.96,1.34,0.08,0.11
500,200,4,49.49,19.16,37.24,2.58,1.33,0.22,0.11
500,200,8,49.42,13.13,37.25,3.77,1.33,0.31,0.11
500,200,12,49.33,8.26,37.25,5.97,1.32,0.5,0.11
500,200,16,49.31,8.52,37.19,5.79,1.33,0.48,0.11
500,500,2,123.42,127.77,90.81,0.97,1.36,0.08,0.11
500,500,4,123.41,44.63,90.68,2.77,1.36,0.23,0.11
500,500,8,123.04,25.5,90.73,4.82,1.36,0.4,0.11
500,500,12,123.5,17.59,90.92,7.02,1.36,0.59,0.11
500,500,16,123.53,17.51,90.84,7.06,1.36,0.59,0.11
